VILLE;LATITUDE;LONGITUDE;DENSITÉ
Levallois-Perret ;48.894999999999996;2.2872222222222223;27908
Vincennes ;48.84777777777778;2.439166666666667;26019
Saint-Mandé ;48.842222222222226;2.418611111111111;23903
Montrouge ;48.81722222222223;2.321944444444444;23143
Clichy ;48.904444444444444;2.306388888888889;20433
Paris ;48.85666666666667;2.3519444444444444;20360
Courbevoie ;48.897777777777776;2.2530555555555556;19682
Boulogne-Billancourt ;48.83527777777778;2.2408333333333332;19565
Les Lilas ;48.88;2.4169444444444443;18473
Asnières-sur-Seine ;48.91083333333333;2.2888888888888888;18258
Lyon;45.757777777777775;4.832222222222222;10909
Bobigny;48.907348;2.4225695;8110
Creteil;48.7845899;2.4111283;8099
Nanterre;48.8974704;2.1606086;7857
Nancy;48.6881067;6.1322393;6956
Lille;50.63722222222222;3.063333333333333;6845
Evry;48.629886;2.4005902;6562
Cergy;49.0373519;2.0043334;6053
Le Cannet;43.57666666666667;7.019166666666667;5464
Rouen;49.4412841;1.049972;5341
Bordeaux;44.83777777777778;-0.5794444444444444;5264
Montpellier ;43.61194444444445;3.877222222222222;5258
Melun;48.5421605;2.6346459;5175
Nantes ;47.21805555555556;-1.5527777777777778;4920
Nice;43.69583333333333;7.271388888888889;4776
Rennes;48.1160195;-1.7708444;4415
Orléans;47.8734269;1.756323;4259
Toulouse;43.60444444444445;1.443888888888889;4210
Toulon;43.1364193;5.8922395;4194
Dijon;47.3319565;4.9498181;3938
Reims;49.2536233;3.9727071;3835
Meaux;48.9573051;2.8622793;3719
Strasbourg ;48.57333333333334;7.752222222222223;3713
Cannes;43.55138888888889;7.012777777777778;3692
Cannes;43.551567679825425;7.010515433725734;3692
Angers;47.4819825;-0.6453357;3650
Marseille;43.296388888888885;5.369999999999999;3617
Clermont-Ferrand;45.7870628;2.9568152;3452
Creil;49.2557262;2.4429497;3243
Versailles;48.8039211;2.0779952;3193
Saint-Laurent-du-Var;43.668055555555554;7.188055555555556;2981
Cagnes-sur-Mer;43.66444444444444;7.148888888888889;2903
Metz;49.1049081;6.1138328;2866
Antibes;43.58083333333334;7.123888888888889;2821
Bastia;42.686189;9.382816;2492
Bayonne;43.4844312;-1.5022885;2399
Ecully;45.76687479399913;4.77151601673612;2224
Vallauris;43.580555555555556;7.053888888888888;2145
Poitiers;46.5847189;0.289056;2138
Saint-André-de-la-Roche;43.74111111111111;7.288333333333333;1991
Bourg-en-Bresse;46.205555555555556;5.228888888888889;1747
Perpignan;42.6991265;2.8221101;1734
Limoges;45.8586117;1.1494854;1686
Guilherand-Granges;44.93527777777778;4.875555555555556;1674
La Chapelle-Saint-Luc;48.3125;4.045277777777778;1176
Bâgé-le-Châtel;46.308611111111105;4.930277777777778;1110
Villefranche-sur-Mer;43.705000000000005;7.3125;1025
Ajaccio;41.922841;8.6234327;886
Beauregard;46.00277777777778;4.751944444444445;873
Villeneuve-Loubet;43.65888888888889;7.122222222222222;833
Cessy;46.31916666666667;6.069999999999999;770
La Trinité;43.74166666666667;7.314722222222222;678
Mandelieu-la-Napoule;43.546388888888885;6.938055555555556;677
Ambérieu-en-Bugey;45.963055555555556;5.354166666666666;581
Bellignat;46.2425;5.627222222222223;468
Beynost;45.84;4.999444444444444;454
Belley;45.75944444444445;5.686388888888889;411
La Boisse;45.84277777777778;5.036388888888888;355
Artemare;45.875277777777775;5.693611111111111;323
Ars-sur-Formans;45.99277777777778;4.823611111111111;271
Valserhône;46.108333333333334;5.826666666666666;263
Bettant;45.942499999999995;5.365833333333333;222
Attignat;46.28805555555555;5.160555555555556;177
Balan;45.835;5.099166666666666;147
Ambutrix;45.939722222222215;5.338888888888889;147
Arbent;46.296388888888885;5.6819444444444445;142
Brion;46.1725;5.5552777777777775;125
Bressolles;45.86694444444444;5.096111111111111;120
Ambérieux-en-Dombes;45.99916666666667;4.903333333333333;112
Ambronay;46.006388888888885;5.361111111111111;84
Bâgé-Dommartin;46.315555555555555;4.945277777777778;72
Argis;45.93472222222222;5.491666666666667;57
L'Abergement-Clémenciat;46.151944444444446;4.921666666666667;51
Saint-Germain-la-Chambotte;45.776932127575165;5.872833069648502;49
Andert-et-Condon;45.79527777777778;5.655833333333334;47
Anglefort;45.91305555555555;5.809166666666666;38
L'Abergement-de-Varey;46.007777777777775;5.425277777777778;29
Arboys en Bugey;45.72944444444445;5.651111111111112;29
Arbigny;46.470555555555556;4.963333333333334;26
Apremont;46.20777777777778;5.657222222222223;25
Boyeux-Saint-Jérôme;46.03055555555555;5.457222222222223;21
Bénonces;45.82805555555556;5.474444444444445;20
Ambléon;45.75;5.601666666666667;19
Bolozon;46.19277777777778;5.472777777777778;19
Birieux;45.95333333333333;5.0408333333333335;18
Belleydoux;46.25277777777778;5.7747222222222225;17
Asnières-sur-Saône;46.38305555555556;4.883333333333333;16
Aranc;46.00527777777778;5.51;15
Bouligneux;46.02444444444444;4.990277777777778;13
Arandas;45.895833333333336;5.487222222222222;10
La Burbanche;45.84666666666667;5.562222222222222;8,5
Pinols;45.05206664489558;3.412948355094529;5,4
Armix;45.85;5.586388888888888;3,8
